App Store Pricing Matrix
 	U.S. - US$	Canada - CAD	Mexico - MXN	Australia - AUD	New Zealand - NZD	Japan - JPY	Europe - Euro	Switzerland - CHF	Norway - NOK	U.K. - GBP	Denmark - DKK	Sweden - SEK	China - CNY	Singapore - SGD	Hong Kong - HKD	Taiwan - TWD	Russia - RUB	Turkey - TRY	India - INR	Indonesia - IDR	Israel - ILS	South Africa - ZAR	Saudi Arabia - SAR	UAE - AED
Tier	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds
Tier 38	37.99	26.60	37.99	26.60	489.00	342.30	39.99	25.45	47.99	33.59	3300	2310	33.99	20.69	37.00	23.98	266.00	148.96	26.99	16.43	249.00	151.57	285.00	173.48	248	173.60	48.98	34.29	298.00	208.60	1140	798	1229	860.30	68.99	48.29	2100	1470	369000	258300	151.90	106.33	309.99	216.99	139.99	97.99	139.99	97.99
Tier 39	38.99	27.30	38.99	27.30	509.00	356.30	40.99	26.08	48.99	34.29	3400	2380	34.99	21.30	38.00	24.63	273.00	152.88	27.49	16.73	259.00	157.65	289.00	175.91	253	177.10	49.98	34.99	308.00	215.60	1170	819	1249	874.30	70.99	49.69	2150	1505	379000	265300	155.90	109.13	314.99	220.49	144.99	101.49	144.99	101.49
Tier 40	39.99	28.00	39.99	28.00	519.00	363.30	41.99	26.72	49.99	34.99	3450	2415	35.99	21.91	39.00	25.28	280.00	156.80	27.99	17.04	265.00	161.30	299.00	182.00	258	180.60	51.98	36.39	318.00	222.60	1190	833	1299	909.30	71.99	50.39	2200	1540	389000	272300	159.90	111.93	319.99	223.99	147.99	103.59	147.99	103.59
Tier 41	40.99	28.70	40.99	28.70	529.00	370.30	42.99	27.36	50.99	35.69	3500	2450	36.99	22.52	40.00	25.93	287.00	160.72	28.99	17.65	269.00	163.74	309.00	188.09	263	184.10	52.98	37.09	323.00	226.10	1230	861	1329	930.30	73.99	51.79	2250	1575	395000	276500	163.90	114.73	329.99	230.99	149.99	104.99	149.99	104.99
Tier 42	41.99	29.40	41.99	29.40	549.00	384.30	43.99	27.99	51.99	36.39	3600	2520	37.49	22.82	41.00	26.57	294.00	164.64	29.49	17.95	279.00	169.83	315.00	191.74	268	187.60	53.98	37.79	328.00	229.60	1260	882	1349	944.30	75.99	53.19	2300	1610	399000	279300	167.90	117.53	339.99	237.99	154.99	108.49	154.99	108.49
Tier 43	42.99	30.10	42.99	30.10	559.00	391.30	44.99	28.63	53.99	37.79	3700	2590	37.99	23.12	42.00	27.22	301.00	168.56	29.99	18.25	285.00	173.48	319.00	194.17	273	191.10	54.98	38.49	338.00	236.60	1290	903	1399	979.30	77.99	54.59	2350	1645	409000	286300	171.90	120.33	349.99	244.99	157.99	110.59	157.99	110.59
Tier 44	43.99	30.80	43.99	30.80	569.00	398.30	45.99	29.27	54.99	38.49	3800	2660	38.99	23.73	43.00	27.87	308.00	172.48	30.99	18.86	289.00	175.91	329.00	200.26	278	194.60	56.98	39.89	348.00	243.60	1320	924	1429	1000.30	79.99	55.99	2400	1680	419000	293300	175.90	123.13	354.99	248.49	159.99	111.99	159.99	111.99
Tier 45	44.99	31.50	44.99	31.50	589.00	412.30	46.99	29.90	55.99	39.19	3900	2730	39.99	24.34	44.00	28.52	315.00	176.40	31.99	19.47	299.00	182.00	339.00	206.35	283	198.10	57.98	40.59	358.00	250.60	1350	945	1449	1014.30	80.99	56.69	2450	1715	429000	300300	179.90	125.93	359.99	251.99	164.99	115.49	164.99	115.49
Tier 46	45.99	32.20	45.99	32.20	599.00	419.30	47.99	30.54	56.99	39.89	3950	2765	40.99	24.95	45.00	29.17	322.00	180.32	32.49	19.78	305.00	185.65	345.00	210.00	288	201.60	58.98	41.29	363.00	254.10	1390	973	1499	1049.30	82.99	58.09	2500	1750	439000	307300	183.90	128.73	369.99	258.99	167.99	117.59	167.99	117.59
Tier 47	46.99	32.90	46.99	32.90	609.00	426.30	48.99	31.18	58.99	41.29	4000	2800	41.99	25.56	46.00	29.81	329.00	184.24	32.99	20.08	309.00	188.09	349.00	212.43	298	208.60	60.98	42.69	368.00	257.60	1420	994	1529	1070.30	84.99	59.49	2550	1785	449000	314300	187.90	131.53	379.99	265.99	169.99	118.99	169.99	118.99
